index,conference_name,acronym,rank,url
92.0,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B,https://portal.core.edu.au/conf-ranks/92/
93.0,Advanced Visual Interfaces,AVI,B,https://portal.core.edu.au/conf-ranks/93/
94.0,Advances in Cryptology,CRYPTO,A*,https://portal.core.edu.au/conf-ranks/94/
95.0,Advances in Information Systems,ADVIS,C,https://portal.core.edu.au/conf-ranks/95/
96.0,Advances in Intelligent Systems,AIS,C,https://portal.core.edu.au/conf-ranks/96/
97.0,Advances in Modal Logic,AiML,B,https://portal.core.edu.au/conf-ranks/97/
98.0,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,https://portal.core.edu.au/conf-ranks/98/
99.0,Advances in the Theory of Computing,AITC,C,https://portal.core.edu.au/conf-ranks/99/
100.0,Agent-Oriented Information Systems Workshop,AOIS,B,https://portal.core.edu.au/conf-ranks/100/
101.0,Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,C,https://portal.core.edu.au/conf-ranks/101/
102.0,AIAA Aerospace Sciences Meeting,,B,https://portal.core.edu.au/conf-ranks/102/
103.0,AIChE Annual Meeting,,C,https://portal.core.edu.au/conf-ranks/103/
104.0,AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,B,https://portal.core.edu.au/conf-ranks/104/
105.0,Algebraic Methodology and Software Technology,AMAST,C,https://portal.core.edu.au/conf-ranks/105/
106.0,Algorithmic Learning Theory,ALT,B,https://portal.core.edu.au/conf-ranks/106/
107.0,Algorithms and Complexity in Durham,ACID,C,https://portal.core.edu.au/conf-ranks/107/
108.0,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B,https://portal.core.edu.au/conf-ranks/108/
109.0,Ambient Information Systems,AIS,B,https://portal.core.edu.au/conf-ranks/109/
110.0,Ambient Intelligence Developments,Aml.d,C,https://portal.core.edu.au/conf-ranks/110/
111.0,American Association of Cost Engineers Annual Meeting,AACE,A,https://portal.core.edu.au/conf-ranks/111/
112.0,American Federation of Information Processing Societies,AFIPS,A,https://portal.core.edu.au/conf-ranks/112/
113.0,"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,A,https://portal.core.edu.au/conf-ranks/113/
114.0,American Society of Mechanical Engineering,,A,https://portal.core.edu.au/conf-ranks/114/
115.0,Americas Conference on Information Systems,AMCIS,A,https://portal.core.edu.au/conf-ranks/115/
116.0,Americas Conference on Wind Engineering,,B,https://portal.core.edu.au/conf-ranks/116/
117.0,Annual Computer Security Applications Conference,ACSAC,A,https://portal.core.edu.au/conf-ranks/117/
118.0,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,Australasian,https://portal.core.edu.au/conf-ranks/118/
119.0,Annual Conference of the Australian Acoustical Society,,A,https://portal.core.edu.au/conf-ranks/119/
120.0,Annual Meeting of the Cognitive Science Society,CogSci,B,https://portal.core.edu.au/conf-ranks/120/
122.0,Annual Conference of the International Academy for Information Management,IAIM,C,https://portal.core.edu.au/conf-ranks/122/
123.0,Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,A,https://portal.core.edu.au/conf-ranks/123/
124.0,Conference on Learning Theory,COLT,A*,https://portal.core.edu.au/conf-ranks/124/
125.0,Annual Conference on Evolutionary Programming,EP,C,https://portal.core.edu.au/conf-ranks/125/
126.0,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B,https://portal.core.edu.au/conf-ranks/126/
