index,conference_name,acronym,rank,url
494.0,Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A,https://portal.core.edu.au/conf-ranks/494/
499.0,European Graphics Conference,EUROGRAPH,A,https://portal.core.edu.au/conf-ranks/499/
511.0,European Symposium on Algorithms,ESA,A,https://portal.core.edu.au/conf-ranks/511/
514.0,European Symposium on Programming,ESOP,A,https://portal.core.edu.au/conf-ranks/514/
515.0,European Symposium On Research In Computer Security,ESORICS,A,https://portal.core.edu.au/conf-ranks/515/
517.0,European Turbulence Conference,,A,https://portal.core.edu.au/conf-ranks/517/
525.0,Eurosys Conference,EuroSys,A,https://portal.core.edu.au/conf-ranks/525/
526.0,"Experiential Knowledge SIG conferences (Design Research Society (DRS) SIG,UK)",,A,https://portal.core.edu.au/conf-ranks/526/
528.0,Extending Database Technology,EDBT,A,https://portal.core.edu.au/conf-ranks/528/
531.0,FIE Frontiers in Education,,A,https://portal.core.edu.au/conf-ranks/531/
533.0,Financial Cryptography and Data Security Conference,FC,A,https://portal.core.edu.au/conf-ranks/533/
540.0,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,https://portal.core.edu.au/conf-ranks/540/
546.0,Foundations of Genetic Algorithms,FOGA,A,https://portal.core.edu.au/conf-ranks/546/
547.0,Foundations of Software Science and Computational Structures,FOSSACS,A,https://portal.core.edu.au/conf-ranks/547/
556.0,Genetic and Evolutionary Computations,GECCO,A,https://portal.core.edu.au/conf-ranks/556/
557.0,Geo congress of the Geo-Institute of ASCE,,A,https://portal.core.edu.au/conf-ranks/557/
561.0,GeoShanghai International Conferences,GeoShanghai,A,https://portal.core.edu.au/conf-ranks/561/
572.0,Graph Drawing,GD,A,https://portal.core.edu.au/conf-ranks/572/
575.0,Hawaii International Conference on System Sciences,HICSS,A,https://portal.core.edu.au/conf-ranks/575/
577.0,Healthy Buildings,HB,A,https://portal.core.edu.au/conf-ranks/577/
